award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
IGSM-256230-OMS-24,San Diego Art Institute,Institute of Museum and Library Services,Office of Museum Services,2024,73000,,"Inspire! Grants for Small Museums (San Diego, CA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-256230-OMS-24,matched via: inspire_interactive
IGSM-257339-OMS-25,National Society of the Colonial Dames of America in the State of Florida (Ximenez Fatio House Museum),Institute of Museum and Library Services,Office of Museum Services,2025,25000,,"Inspire! Grants for Small Museums (Jacksonville, FL)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257339-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-257344-OMS-25,Icon Museum and Study Center,Institute of Museum and Library Services,Office of Museum Services,2025,25000,,"Inspire! Grants for Small Museums (Clinton, MA)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257344-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-257417-OMS-25,National First Ladies Library & Museum,Institute of Museum and Library Services,Office of Museum Services,2025,40000,,"Inspire! Grants for Small Museums (Canton, OH)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257417-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-257487-OMS-25,Museum of Russian Art,Institute of Museum and Library Services,Office of Museum Services,2025,24191,,"Inspire! Grants for Small Museums (Minneapolis, MN)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257487-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-257539-OMS-25,Muncie Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2025,75000,,"Inspire! Grants for Small Museums (Muncie, IN)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257539-OMS-25,matched via: inspire_exhibit_fab; prog_Inspire__Grants_for_Small_Museums
IGSM-257640-OMS-25,Department of Energy & Environmental Protection (Fort Trumbull State Park Museum),Institute of Museum and Library Services,Office of Museum Services,2025,40000,,"Inspire! Grants for Small Museums (Hartford, CT)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257640-OMS-25,matched via: inspire_interactive
IGSM-257725-OMS-25,Waukesha County Historical Society & Museum,Institute of Museum and Library Services,Office of Museum Services,2025,42135,,"Inspire! Grants for Small Museums (Waukesha, WI)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257725-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-257792-OMS-25,Schwenkfelder Library & Heritage Center,Institute of Museum and Library Services,Office of Museum Services,2025,24824,,"Inspire! Grants for Small Museums (Pennsburg, PA)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257792-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-257923-OMS-25,Greystone Society (National Iron & Steel Heritage Museum),Institute of Museum and Library Services,Office of Museum Services,2025,20000,,"Inspire! Grants for Small Museums (Coatesville, PA)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-257923-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
